NPC Type

Awakened Male
Awakened Female
Dhampyr Male
Dhampyr Female
Dwarf Male
Dwarf Female
Elf Male
Elf Female
Fane Male
Fane Female
Firbolg Male
Firbolg Female
Gargoyle Male
Gargoyle Female
Grendel Male
Grendel Female
Human Male
Human Female
Human Male
Human Female
Human Male
Human Female
Human Male
Human Female
Human Male
Human Female
Human Male
Human Female
Human Male
Human Female
Human Male
Human Female
Human Male
Human Female
Human Male
Human Female
Human Male
Human Female
Human Male
Human Female
Human Male
Human Female
Human Male
Human Female
Human Male
Human Female
Human Male
Human Female
Human Male
Human Female
Human Male
Human Female
Human Male
Human Female
Human Male
Human Female
Human Male
Human Female
Human Male
Human Female
Human Male
Human Female
Human Male
Human Female
Human Male
Human Female
Human Male
Human Female
Human Male
Human Female
Human Male
Human Female
Human Male
Human Female
Human Male
Human Female
Human Male
Human Female
Human Male
Human Female
Human Male
Human Female
Human Male
Human Female
Human Male
Human Female
Human Male
Human Female
Human Male
Human Female
Human Male
Human Female
Human Male
Human Female
Human Male
Human Female
Midfolk Male
Midfolk Female
Selkie Male
Selkie Female
Siabra Male
Siabra Female
Tattertail Male
Tattertail Female
Ubasti Male
Ubasti Female
Vargr Male
Vargr Female
Woodwose Male
Woodwose Female
